#{"t_start": 1734332524.8439288, "env_id": "CartPole-v1"}
r,l,t
137.0,137,301.744994
17.0,17,301.776326
500.0,500,304.438889
100.0,100,305.606001
128.0,128,305.764046
500.0,500,308.457653
404.0,404,310.939828
106.0,106,311.065188
107.0,107,312.212681
369.0,369,313.659687
117.0,117,313.800891
117.0,117,314.932528
92.0,92,315.042598
13.0,13,315.058224
111.0,111,316.191549
245.0,245,317.451833
27.0,27,317.483292
32.0,32,317.530959
32.0,32,317.56262
25.0,25,317.594048
26.0,26,317.625304
28.0,28,317.656554
20.0,20,317.687886
21.0,21,318.72454
16.0,16,318.740174
11.0,11,318.755798
20.0,20,318.771591
94.0,94,318.898141
20.0,20,318.914263
25.0,25,318.931327
97.0,97,320.048151
330.0,330,321.447862
166.0,166,322.612615
26.0,26,322.644037
25.0,25,322.675292
23.0,23,322.706961
25.0,25,322.738626
25.0,25,322.76988
21.0,21,322.801363
25.0,25,322.83262
25.0,25,322.863966
20.0,20,322.880383
14.0,14,322.896221
51.0,51,323.948825
28.0,28,323.981734
30.0,30,324.012109
24.0,24,324.044206
25.0,25,324.075052
23.0,23,324.107199
21.0,21,324.138026
21.0,21,324.16928
29.0,29,324.200937
22.0,22,325.208757
20.0,20,325.239417
19.0,19,325.255042
24.0,24,325.286289
13.0,13,325.301914
23.0,23,325.333593
21.0,21,325.364884
19.0,19,325.396619
21.0,21,325.412339
24.0,24,325.4436
13.0,13,325.460736
22.0,22,325.490884
18.0,18,325.506593
17.0,17,326.514411
21.0,21,326.546317
29.0,29,326.577713
16.0,16,326.593343
20.0,20,326.62459
19.0,19,326.640993
23.0,23,326.671826
43.0,43,326.718862
23.0,23,326.750256
19.0,19,326.781715
18.0,18,326.797355
129.0,129,327.962989
375.0,375,329.441702
156.0,156,330.636621
27.0,27,330.668381
99.0,99,331.784664
31.0,31,331.831565
60.0,60,331.894815
90.0,90,332.005561
86.0,86,333.107613
256.0,256,334.348895
22.0,22,334.36495
99.0,99,334.474322
97.0,97,334.600268
243.0,243,335.96889
215.0,215,337.259076
253.0,253,338.594457
28.0,28,338.626629
20.0,20,338.642362
96.0,96,339.790803
109.0,109,339.91644
30.0,30,339.947769
100.0,100,341.064268
11.0,11,341.080061
33.0,33,341.127255
14.0,14,341.142938
37.0,37,341.190392
18.0,18,341.206023
105.0,105,342.337641
146.0,146,342.509595
139.0,139,343.674218
132.0,132,343.831194
135.0,135,344.961745
95.0,95,345.088281
97.0,97,345.198146
152.0,152,346.393545
500.0,500,349.004164
155.0,155,350.167933
24.0,24,350.200219
126.0,126,350.358112
16.0,16,350.373729
500.0,500,352.966293
120.0,120,354.145254
45.0,45,354.192519
37.0,37,354.239405
37.0,37,354.286507
38.0,38,354.333926
102.0,102,355.449847
93.0,93,355.560099
97.0,97,355.670806
160.0,160,356.849719
416.0,416,359.379667
86.0,86,359.473419
85.0,85,359.583693
26.0,26,359.614939
21.0,21,360.636537
28.0,28,360.667785
21.0,21,360.699158
23.0,23,360.730519
25.0,25,360.764097
26.0,26,360.794238
22.0,22,360.825489
23.0,23,360.857042
21.0,21,360.873706
33.0,33,360.920215
23.0,23,360.951619
308.0,308,363.357364
49.0,49,363.420736
43.0,43,363.483533
42.0,42,363.530863
110.0,110,364.711349
270.0,270,366.015835
35.0,35,366.0627
39.0,39,366.109575
15.0,15,366.125194
43.0,43,366.188036
41.0,41,366.235167
31.0,31,366.266569
21.0,21,367.289657
22.0,22,367.321556
19.0,19,367.337174
22.0,22,367.368412
26.0,26,367.399666
36.0,36,367.446617
21.0,21,367.477949
11.0,11,367.49357
26.0,26,367.509324
24.0,24,367.541118
29.0,29,367.588307
102.0,102,368.704588
26.0,26,368.735846
103.0,103,368.862083
500.0,500,371.504366
327.0,327,373.92306
19.0,19,373.954579
28.0,28,373.986372
21.0,21,374.017912
24.0,24,374.049358
20.0,20,374.064982
28.0,28,374.096949
21.0,21,374.128336
17.0,17,374.144035
23.0,23,374.175946
23.0,23,374.208822
429.0,429,376.741991
187.0,187,378.034661
102.0,102,378.175853
94.0,94,379.432343
87.0,87,379.558688
17.0,17,379.57431
45.0,45,379.637197
75.0,75,380.785211
97.0,97,380.911047
98.0,98,381.037019
399.0,399,384.011615
94.0,94,384.121628
93.0,93,385.26828
254.0,254,386.588054
9.0,9,386.603675
105.0,105,386.729675
107.0,107,386.855601
119.0,119,388.036172
125.0,125,388.192584
21.0,21,388.223921
94.0,94,389.386031
93.0,93,389.511383
94.0,94,390.675864
120.0,120,390.833881
138.0,138,392.045308
32.0,32,392.076553
12.0,12,392.092254
23.0,23,392.124486
13.0,13,392.140997
92.0,92,392.249405
99.0,99,393.395796
100.0,100,393.537159
100.0,100,393.647777
28.0,28,394.718186
30.0,30,394.765171
94.0,94,394.875853
23.0,23,394.892339
12.0,12,394.907383
94.0,94,396.071541
107.0,107,396.197675
106.0,106,396.325826
319.0,319,398.821928
20.0,20,398.837559
14.0,14,398.869045
16.0,16,398.884679
23.0,23,398.916245
18.0,18,398.932056
12.0,12,398.94795
18.0,18,398.965289
16.0,16,398.979825
19.0,19,399.011588
21.0,21,399.042823
16.0,16,399.058839
16.0,16,399.074972
20.0,20,400.12921
99.0,99,400.239556
100.0,100,400.350241
94.0,94,401.480446
97.0,97,401.590426
96.0,96,401.701272
94.0,94,402.881348
90.0,90,402.9919
53.0,53,403.054508
500.0,500,405.727624
145.0,145,406.954301
133.0,133,407.111535
412.0,412,409.70768
292.0,292,411.121863
489.0,489,413.828312
194.0,194,415.118479
23.0,23,415.149726
95.0,95,415.275897
99.0,99,416.45666
335.0,335,417.93197
500.0,500,420.667307
236.0,236,422.018816
12.0,12,422.034479
117.0,117,422.191159
500.0,500,424.925693
296.0,296,426.325405
500.0,500,429.056426
39.0,39,430.223317
122.0,122,430.365539
127.0,127,431.605124
422.0,422,433.194469
132.0,132,434.405709
96.0,96,434.531758
96.0,96,434.659147
266.0,266,436.02488
24.0,24,437.141524
34.0,34,437.172776
23.0,23,437.204011
92.0,92,437.329872
89.0,89,437.439644
500.0,500,440.161448
156.0,156,441.42977
96.0,96,441.539549
440.0,440,444.227575
424.0,424,446.912829
128.0,128,447.054427
366.0,366,449.615975
241.0,241,451.000809
207.0,207,451.252852
23.0,23,452.371393
18.0,18,452.402732
16.0,16,452.418512
23.0,23,452.45296
16.0,16,452.481898
27.0,27,452.513025
16.0,16,452.528785
22.0,22,452.560199
23.0,23,452.59214
23.0,23,452.623398
18.0,18,452.63902
12.0,12,452.655107
20.0,20,452.671691
142.0,142,453.91537
461.0,461,456.70512
108.0,108,456.830633
133.0,133,458.122663
241.0,241,459.524425
109.0,109,459.666746
111.0,111,460.911321
248.0,248,462.328203
97.0,97,462.454662
96.0,96,462.565417
29.0,29,462.612524
123.0,123,463.887372
147.0,147,464.059856
336.0,336,466.624094
119.0,119,466.764906
108.0,108,468.007894
96.0,96,468.117263
102.0,102,468.242578
129.0,129,469.453376
332.0,332,470.97999
107.0,107,472.24008
178.0,178,472.445662
157.0,157,473.751848
183.0,183,475.061731
100.0,100,475.18745
93.0,93,475.297322
32.0,32,476.396924
133.0,133,476.570131
118.0,118,477.76573
182.0,182,477.985641
168.0,168,479.260822
167.0,167,480.56747
391.0,391,482.107142
116.0,116,483.334427
91.0,91,483.444897
97.0,97,483.554903
14.0,14,483.570455
